Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Clopidogrel Teva (hydrogen sulphate),EMEA/H/C/001053,clopidogrel hydrogen sulphate,clopidogrel,"Acute Coronary Syndrome
Peripheral Vascular Diseases
Myocardial Infarction
Stroke",B01AC04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva Pharma B.V.,11,27/07/2009,"TEVA Pharma B.V.
Computerweg 10
NL-3542 DR Utrecht
The Netherlands",,,,,,,,,The Netherlands
Ebymect,EMEA/H/C/004162,"dapagliflozin propanediol monohydrate
metformin hydrochloride",dapagliflozin / metformin,"Diabetes Mellitus, Type 2",A10BD15,,AstraZeneca AB,8,15/11/2015,"SE-151-85 Sodertalje
Sweden",,,,,,,,,Sweden
Jorveza,EMEA/H/C/004655,budesonide,budesonide,Esophageal Diseases,A07EA06,,Dr. Falk Pharma GmbH,0,08/01/2018,"Leinenweber str. 5
79108 Freiburg
Germany",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Germany
Zostavax,EMEA/H/C/000674,"varicella-zoster virus (live, attenuated)",zoster vaccine (live),"Herpes Zoster
Immunization",J07BK02,,MSD VACCINS,26,18/05/2006,"162 avenue Jean Jaurès
69007 Lyon
France",,,,,,,,,France
Fasturtec,EMEA/H/C/000331,rasburicase,rasburicase,Hyperuricemia,V03AF07,,Sanofi-aventis groupe ,24,22/02/2001,"Sanofi-aventis groupe
54, rue La Boétie
F-75008 Paris
France",,,,,,,,,France
Levetiracetam Hospira,EMEA/H/C/002783,levetiracetam,levetiracetam,Epilepsy,N03AX14,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Hospira UK Limited,7,07/01/2014,"Horizon, Honey Lane
Hurley, Maidenhead, SL6 6RJ
United Kingdom",,,,,,,,,United Kingdom
VeraSeal,EMEA/H/C/004446,"human fibrinogen, human thrombin",human fibrinogen / human thrombin,"Hemostasis, Surgical",B02BC,,"Instituto Grifols, S.A.",0,09/11/2017,"Poligono Levante
c/Can Guasc 2
Barcelona 08150
Parets del Valles
Spain","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Spain
Tenofovir disoproxil Mylan,EMEA/H/C/004049,tenofovir disoproxil,tenofovir disoproxil,HIV Infections,J05AF07,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,3,07/12/2016,"117 Allée des Parcs
69800 Saint Priest
France",,,,,,,,,France
Desloratadine ratiopharm,EMEA/H/C/002404,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial
Urticaria
Rhinitis, Allergic, Seasonal",R06AX27,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Ratiopharm GmbH,7,12/01/2012,"Graf-Arco-Str. 3
D-89079 Ulm
Germany",,,,,,,,,Germany
Helixate NexGen,EMEA/H/C/000276,octocog alfa,octocog alfa,Hemophilia A,B02BD02,,Bayer AG ,31,03/08/2000,"Bayer AG
51368 Leverkusen
Germany",,,,,,,,,Germany
Repaglinide Krka,EMEA/H/C/001066,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",A10BX02,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Krka, d.d., Novo mesto",5,03/11/2009,"Šmarješka cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Brineura,EMEA/H/C/004065,cerliponase alfa,cerliponase alfa,Neuronal Ceroid-Lipofuscinoses,A16AB,,BioMarin International Limited,1,29/05/2017,"Shanbally
Ringaskiddy Cork Co.
Cork
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Ireland
Lyrica,EMEA/H/C/000546,pregabalin,pregabalin,"Epilepsy
Anxiety Disorders
Neuralgia",N03AX16,,Pfizer Limited,38,05/07/2004,"Ramsgate Road
Sandwich
Kent
CT13 9NJ
United Kingdom",,,,,,,,,United Kingdom
Nemdatine,EMEA/H/C/002680,memantine,memantine,Alzheimer Disease,N06DX01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf.,7,22/04/2013,"Reykjavíkurvegi 76-78
220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Olanzapine Mylan,EMEA/H/C/000961,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Generics [UK] Ltd.,12,06/10/2008,"Generics [UK] Limited
Station Close
Potters Bar
Hertfordshire
EN6 1TL
United Kingdom",,,,,,,,,United Kingdom
Rapiscan,EMEA/H/C/001176,regadenoson,regadenoson,Myocardial Perfusion Imaging,C01EB21,,GE Healthcare AS ,8,05/09/2010,"GE Healthcare AS
Nycoveien 1
NO-0485 Oslo
Norway",,,,,,,,,Norway
Ixiaro,EMEA/H/C/000963,"Japanese-encephalitis virus, inactivated (attenuated strain SA14-14-2 grown in vero cells)","Japanese-encephalitis vaccine (inactivated, adsorbed)","Encephalitis, Japanese
Immunization",J07BA02,,Valneva Austria GmbH,13,30/03/2009,"Campus Vienna Biocenter 6
A-1030 Vienna
Austria",,,,,,,,,Austria
Pioglitazone Teva,EMEA/H/C/002297,pioglitazone hydrochloride,pioglitazone,"Diabetes Mellitus, Type 2",A10BG03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,9,25/03/2012,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Evista,EMEA/H/C/000184,raloxifene hydrochloride,raloxifene,"Osteoporosis, Postmenopausal",G03XC01,,Daiichi Sankyo Europe GmbH,21,04/08/1998,"Zielstattstrasse 48
D-81379 Munich
Germany",,,,,,,,,Germany
HBVaxPro,EMEA/H/C/000373,"hepatitis B, recombinant surface antigen",hepatitis-B vaccine (rDNA),"Hepatitis B
Immunization",J07BC01,,MSD VACCINS,24,26/04/2001,"162 avenue Jean Jaurès
69007 Lyon
France",,,,,,,,,France
Lymphoseek,EMEA/H/C/002085,tilmanocept,tilmanocept,Radionuclide Imaging,V09IA09,,Norgine BV,4,18/11/2014,"Hogehilweg 7
1101 CAAmsterdam Zuidoost
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Komboglyze,EMEA/H/C/002059,metformin hydrochloride / saxagliptin hydrochloride,saxagliptin / metformin hydrochloride,"Diabetes Mellitus, Type 2",A10BD10,,AstraZeneca AB ,14,23/11/2011,"AstraZeneca AB
151 85 Södertälje
Sweden",,,,,,,,,Sweden
Clopidogrel Acino,EMEA/H/C/001166,clopidogrel,clopidogrel,"Peripheral Vascular Diseases
Acute Coronary Syndrome
Myocardial Infarction
Stroke",B01AC04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Acino AG,6,27/07/2009,"Am Windfeld 35
DE-83714 Miesbach
Germany",,,,,,,,,Germany
Karvezide,EMEA/H/C/000221,"irbesartan
hydrochlorothiazide",irbesartan / hydrochlorothiazide,Hypertension,C09DA04,,Sanofi-aventis groupe,34,15/10/1998,"54 rue La Boétie
75008 Paris
France",,,,,,,,,France
Edistride,EMEA/H/C/004161,dapagliflozin propanediol monohydrate,dapagliflozin,"Diabetes Mellitus, Type 2",A10BK01,,AstraZeneca AB,7,08/11/2015,"85 Sodertalje
SE-151
Sweden",,,,,,,,,Sweden
Betmiga,EMEA/H/C/002388,Mirabegron,mirabegron,"Urinary Bladder, Overactive",G04BD12,,Astellas Pharma Europe B.V.,10,19/12/2012,"Sylviusweg 62
2333 BE Leiden
The Netherlands",,,,,,,,,The Netherlands
Selincro,EMEA/H/C/002583,Nalmefene hydrochloride dihydrate,nalmefene,Alcohol-Related Disorders,N07BB05,,H. Lundbeck A/S,9,24/02/2013,"Ottiliavej 9
DK-2500 Valby
Denmark",,,,,,,,,Denmark
Benlysta,EMEA/H/C/002015,belimumab,belimumab,"Lupus Erythematosus, Systemic",L04AA26,,Glaxo Group Ltd.,16,12/07/2011,"Glaxo Wellcome House
Berkeley Avenue
Greenford
Middlesex
UB6 0NN
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Ketoconazole HRA,EMEA/H/C/003906,Ketoconazole,ketoconazole,Cushing Syndrome,J02AB02,,Laboratoire HRA Pharma,7,18/11/2014,"15 rue Béranger
75003 Paris
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,France
Prepandrix,EMEA/H/C/000822,A/Indonesia/05/2005 (H5N1) like strain used (PR8-IBCDC-RG2),"prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)","Influenza, Human
Immunization
Disease Outbreaks",J07BB02,,GlaxoSmithKline Biologicals S.A.,12,13/05/2008,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Zevalin,EMEA/H/C/000547,ibritumomab tiuxetan,ibritumomab tiuxetan,"Lymphoma, Follicular",V10XX02,,Spectrum Pharmaceuticals B.V.,21,16/01/2004,"Prins Bernhardplein 200
1097 JB Amsterdam
The Netherlands",,,,,,,,,The Netherlands
Xiapex,EMEA/H/C/002048,collagenase Clostridium histolyticum,collagenase Clostridium histolyticum,Dupuytren Contracture,M09AB02,,Swedish Orphan Biovitrum AB,18,27/02/2011,"Tomtebodavagen 23A
SE-112 76 Stockholm
Sweden",,,,,,,,,Sweden
Optimark,EMEA/H/C/000745,gadoversetamide,gadoversetamide,Magnetic Resonance Imaging,V08CA06,,Mallinckrodt Deutschland GmbH,14,22/07/2007,"Guerbet
15, rue des Vanesses
93420 Villepinte
France",,,,,,,,,France
Forxiga,EMEA/H/C/002322,dapagliflozin propanediol monohydrate,dapagliflozin,"Diabetes Mellitus, Type 2",A10BK01,,AstraZeneca AB,12,11/11/2012,"151 85 Sodertalje
Sweden",,,,,,,,,Sweden
Somatropin Biopartners,EMEA/H/C/002196,somatropin,somatropin,Growth,H01AC01,,BioPartners GmbH,3,04/08/2013,"Kaiserpassage 11
D-72764 Reutlingen
Germany",,,,,,,,,Germany
Intuniv,EMEA/H/C/003759,guanfacine hydrochloride,guanfacine,Attention Deficit Disorder with Hyperactivity,C02AC02,,Shire Pharmaceuticals Ireland Ltd,5,17/09/2015,"Block 2-3, Miesian Plaza
50-58 Baggot Street Lower
Dublin 2
D02 Y754 
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Adlumiz,,anamorelin hydrochloride,anamorelin,"Cachexia
Anorexia
Carcinoma, Non-Small-Cell Lung",V03,,,,,,,,,,,17/05/2017,,15/11/2017,
Olanzapine Glenmark Europe,EMEA/H/C/001086,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Glenmark Pharmaceuticals Europe Limited ,9,02/12/2009,"Glenmark Pharmaceuticals Europe Limited
Laxmi House
2 B Draycott Avenue
Kenton
Middlesex
HA3 0BU
United Kingdom",,,,,,,,,United Kingdom
Tookad,EMEA/H/C/004182,padeliporfin di-potassium,padeliporfin,Prostatic Neoplasms,L01XD07,,STEBA Biotech S.A,0,09/11/2017,"7 place du theatre
L-2613 Luxembourg
Luxembourg","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Luxembourg
Vipdomet,EMEA/H/C/002654,"alogliptin benzoate
metformin hydrochloride",alogliptin / metformin,"Diabetes Mellitus, Type 2",A10BD13,,Takeda Pharma A/S,5,18/09/2013,"Dybendal Alle 10
2630 Taastrup
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Denmark
Twinrix Paediatric,EMEA/H/C/000129,"hepatitis-A virus (inactivated)
hepatitis-B surface antigen",hepatitis-A (inactivated) and hepatitis-B (rDNA) (HAB) vaccine (adsorbed),"Immunization
Hepatitis B
Hepatitis A",J07BC20,,GlaxoSmithKline Biologicals S.A.,19,09/02/1997,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Prevenar,EMEA/H/C/000323,"pneumococcal polysaccharide serotype 4 / pneumococcal polysaccharide serotype 6B / pneumococcal polysaccharide serotype 9V / pneumococcal polysaccharide serotype 14
pneumococcal oligosaccharide serotype 18C / pneumococcal polysaccharide serotype 19F / pneumococcal polysaccharide serotype 23F","pneumococcal saccharide conjugated vaccine, adsorbed","Pneumococcal Infections
Immunization",J07AL02,,Pfizer Limited,23,01/02/2001,"Ramsgate Road
Sandwich
Kent
CT13 9NJ
United Kingdom",,,,,,,,,United Kingdom
